state,x,y
Andhra Pradesh,-71,-135
Arunachal Pradesh,216,151
Assam,189,112
Bihar,66,87
Chhattisgarh,-16,0
Goa,-166,-125
Gujarat,-231,15
Haryana,-114,159
Himachal Pradesh,-100,211
Jammu and Kashmir,-125,265
Jharkhand,49,43
Karnataka,-139,-142
Kerala,-118,-234
Ladakh,-78,272
Madhya Pradesh,-92,39
Maharashtra,-157,-33
Manipur,208,79
Meghalaya,153,90
Mizoram,192,49
Nagaland,224,108
Odisha,31,-18
Punjab,-131,191
Rajasthan,-196,111
Sikkim,104,127
Tamil Nadu,-77,-209
Telangana,-75,-74
Tripura,169,55
Uttar Pradesh,-55,120
Uttarakhand,-64,175
West Bengal,89,39
